ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North East,E06000001,Hartlepool,89753,89680,89811,90152,89993,90134,90317,90457,90781,90969,91379,91530,91773,92088,92344,92465,92358,92125,92260,92306,92288,92401,92202,92575,93861
North East,E06000004,Stockton-on-Tees,179350,180844,182517,183795,184940,185699,185687,186350,187270,187937,189039,189978,190902,191824,192837,193923,195113,195790,196412,197046,197509,196860,196388,197032,199966
North East,E06000002,Middlesbrough,144031,143023,142251,141233,140090,139050,138451,138517,138169,138190,137885,137273,137667,138368,138472,138588,139030,139602,140649,141213,141057,142134,142459,143943,148285
North East,E06000003,Redcar and Cleveland,140380,139542,139193,139159,138520,138565,138643,138177,137621,136940,136512,135867,135383,135164,134951,134838,135106,135370,135344,135584,136276,136699,136571,136605,137175
North East,E06000005,Darlington,99273,98172,98088,97894,98474,98911,99343,100287,101509,102632,103694,104355,105028,105584,105557,105591,105825,105988,106258,106541,106411,106532,106827,108210,109469
North East,E06000047,County Durham,496945,496096,495138,493678,493538,493931,495147,497218,499348,502960,505617,507311,510628,512994,513122,513179,513604,513924,514431,515911,516648,518562,519204,521447,528127
North East,E06000057,Northumberland,307241,307490,307348,307363,308499,309448,310140,310752,311375,312960,314057,314489,315463,316278,315924,315013,315274,314188,314327,315663,316153,318027,318490,321532,324362
North East,E08000021,Newcastle upon Tyne,274455,270975,267623,266241,267001,266862,266884,269608,270258,271577,271649,273422,276681,279092,280869,284371,286876,287955,290316,291759,294955,297087,298426,298545,307565
North East,E08000022,North Tyneside,191000,190062,190708,192003,192739,193037,193195,194120,195365,196470,197964,199017,200164,201206,201566,202268,203211,202953,203743,204492,205766,207294,208015,209128,210487
North East,E08000023,South Tyneside,154402,153627,153112,152793,152210,151181,150265,149585,148887,148642,148626,148509,148468,148164,147761,147517,147606,147230,147664,147796,148076,148368,147919,147919,148667
North East,E08000037,Gateshead,194344,193276,191912,191178,191559,192115,192317,192857,193615,194934,196078,197481,198731,200349,200252,200299,200728,201271,201359,200660,199915,198435,197342,196179,197722
North East,E08000024,Sunderland,289709,287527,285720,284601,283037,281528,280113,279199,278370,277834,276812,276209,275980,275330,275317,275247,275751,275408,275490,274816,274339,274277,273583,274378,277354
North West,E06000063,Cumberland,266628,265127,263908,263559,264632,266609,269008,270496,272315,273850,274153,274005,273915,274546,274285,274032,274139,274195,274192,273458,273256,273009,272444,273788,275390
North West,E06000064,Westmorland and Furness,222405,223018,223694,224236,224049,224720,225910,226544,226498,226929,226763,226781,226250,225271,224550,224048,224164,224523,224754,225235,225685,226162,225995,226941,227643
North West,E08000003,Manchester,417726,416438,421799,422915,428221,436727,444925,455745,463749,470538,477408,483784,492598,502902,506869,510783,515360,523321,533446,536961,540675,545947,547340,550630,568996
North West,E08000006,Salford,221640,220018,218689,216978,216310,217312,217921,219536,221931,223468,226782,228948,231837,234487,237421,239718,242602,246942,251562,255090,259224,263611,266090,270866,278064
North West,E08000009,Trafford,214159,212951,211287,210172,211062,213031,214129,215430,217369,219359,220939,223065,225234,227091,228512,230367,231799,232504,233710,234917,235623,236121,235937,235586,236301
North West,E08000007,Stockport,287185,285824,284420,284557,283502,282932,282368,281195,280498,280953,281477,282263,282614,283253,283953,284816,286267,288210,289879,290905,291631,293172,293851,295268,297107
North West,E08000008,Tameside,214873,213567,212899,213087,213211,213470,213667,213474,214187,214750,216360,217417,218774,219727,220457,221446,222364,223642,225480,226692,228435,229952,230521,231220,232753
North West,E08000001,Bolton,260882,260396,260183,261302,262367,263814,264511,265016,266816,268319,270497,273049,275168,277296,279738,281629,283212,284972,287253,289684,291594,294888,295712,296169,298903
North West,E08000010,Wigan,301728,301989,301985,301453,302305,303846,304958,306143,308023,309403,311971,314363,316296,318122,318109,318737,320075,320864,321494,322485,323904,326386,327850,329796,334110
North West,E08000002,Bury,180551,181020,180875,180655,181084,181405,180999,181028,181809,182713,183000,183885,184755,185422,186632,187093,188406,189254,190470,191896,192900,193763,193604,193866,194606
North West,E08000004,Oldham,218672,218420,218114,218537,218455,218490,218988,219288,220033,220723,221907,222811,223807,225157,226057,227866,230348,232693,235021,237161,239923,242077,242181,242003,243912
North West,E08000005,Rochdale,204499,204865,206088,206440,206697,207528,207286,207200,207845,208393,209666,210248,210758,211929,212345,212503,213462,214560,216251,218492,219969,222042,223024,224127,226992
North West,E06000008,Blackburn with Darwen,139568,138233,138196,138453,139538,140429,141418,142145,143110,143942,144902,146197,146966,147657,148532,149148,149579,150490,151497,152312,152787,154066,154564,154954,155762
North West,E06000009,Blackpool,144120,142995,143035,142270,142164,142658,143143,143688,143733,143644,142921,142578,142753,142080,142565,142733,142253,141788,141996,142121,141880,142407,141560,140976,141574
North West,E07000121,Lancaster,133541,134596,133863,134049,133628,134635,135472,136764,136682,136235,135812,136013,137120,137823,138452,138695,138469,138102,138572,138678,138995,139795,140881,142351,144446
North West,E07000128,Wyre,103617,103502,104704,105800,106444,107246,107760,108188,108435,108475,108245,108057,107912,107692,107466,107497,107765,108461,108574,108707,109019,109544,110409,112434,114809
North West,E07000119,Fylde,72947,72656,73105,73340,73658,74212,74667,74841,74824,75305,75230,75441,75610,76098,75901,76253,76907,77135,77886,78423,79191,79852,80176,81750,83008
North West,E07000123,Preston,131758,131597,131199,130372,131110,132685,134410,136200,137784,138470,138443,137956,138831,140054,140216,140302,140158,140615,140468,141734,142417,144624,145912,147786,151582
North West,E07000124,Ribble Valley,52147,53132,53610,54053,54659,55400,56054,56358,56664,56986,57158,57004,57218,57292,57509,57692,57911,58275,58611,59066,59452,59903,60780,61865,63107
North West,E07000126,South Ribble,102518,103169,103689,103949,104522,105149,105578,105753,106512,107128,107830,108609,108846,109181,108879,108916,109357,109873,110253,110348,110334,110477,110613,111203,112166
North West,E07000117,Burnley,91279,90292,89731,89521,88842,88282,87923,87624,87646,87256,87328,87027,86902,87032,87563,87795,88786,89230,89891,90902,91994,92949,93927,94734,95553
North West,E07000120,Hyndburn,80867,80839,81069,81495,81233,81408,81280,81311,81491,81453,81176,81003,80876,80549,80362,80316,80707,80781,81242,81392,81778,81954,82144,82271,83213
North West,E07000122,Pendle,87411,87824,88467,89277,88830,88559,88330,88312,88788,88819,89005,89287,89234,89576,89873,90720,90803,91531,92502,93066,93872,94896,95099,95819,96110
North West,E07000125,Rossendale,65232,65340,65359,65647,65556,65729,65623,65872,66199,66623,67063,67479,67824,68053,68144,68505,68931,69196,69475,70084,70515,70884,70811,71008,71169
North West,E07000118,Chorley,98558,98822,100043,100559,101142,102003,102778,103279,103807,104362,105396,105682,106443,107591,108916,110160,111174,112418,113593,114810,115739,116762,117178,117908,118624
North West,E07000127,West Lancashire,109125,107861,108071,108480,108750,109273,109588,109806,110308,110720,110666,110583,110763,110617,111040,111735,112544,113536,114243,115210,115366,115744,116198,117099,119367
North West,E06000007,Warrington,189569,190320,190629,191202,191615,191987,191837,192992,194603,196559,198187,200057,201309,202709,203914,205905,208056,209575,210873,212137,212008,212245,211627,211182,211580
North West,E06000049,Cheshire East,352066,350932,351234,352104,353348,355529,357354,359807,362049,365003,367160,368023,369051,370736,372501,373956,376574,378511,381414,384221,386891,390556,393203,400474,406527
North West,E06000050,Cheshire West and Chester,320132,319598,321113,322154,322657,324378,325496,327169,328358,329364,329353,329116,329553,329526,331231,333476,336437,339181,342424,346040,350076,353362,354738,357730,361694
North West,E06000006,Halton,120212,119552,119126,118559,118788,119178,119960,120396,121275,122040,122907,123636,124802,125722,125596,125889,126335,126464,126851,127038,127873,128456,128508,128570,128964
North West,E08000011,Knowsley,153168,151837,151392,151238,150506,149795,149216,148900,148788,148188,147822,147070,146398,145903,146227,146370,146562,147300,147928,148567,150042,151793,153408,154978,157103
North West,E08000013,St. Helens,176364,176795,176757,176826,176295,175997,175738,175361,175199,174970,175106,175272,175203,175405,176214,176451,177785,178296,179229,180150,180937,181541,182102,183394,184728
North West,E08000012,Liverpool,453238,448417,446050,441858,443784,444960,448091,452278,453055,453582,454468,457523,461403,465656,465365,465815,465745,469953,475486,479801,483598,484687,483348,485022,496770
North West,E08000014,Sefton,285159,284162,283337,282884,280866,279913,278853,276957,275852,275085,274735,274153,273820,273969,273979,273814,275143,275546,276707,276962,277890,278908,278621,279693,281027
North West,E08000015,Wirral,318629,317011,316503,315004,315050,315371,315130,314925,315350,315670,316711,317771,319078,319837,319971,319965,320917,320714,320914,321020,320643,320732,320249,320631,322453
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",259764,255872,252286,249913,249463,250604,253049,255159,255497,255761,256746,256079,256174,256123,258085,259094,260896,262711,265338,267566,268223,268749,267591,266516,268852
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,306845,309144,311511,314854,318633,321869,325117,327268,328587,330865,332464,332748,333599,334673,334972,334572,335625,334735,336323,336697,337192,338944,341050,343145,346309
Yorkshire and The Humber,E06000012,North East Lincolnshire,157825,157988,157633,157951,158003,158373,158542,158725,158610,158589,158708,158689,158951,159735,159408,159456,159420,159140,158877,158699,158460,157957,157313,157188,157754
Yorkshire and The Humber,E06000013,North Lincolnshire,152230,151962,152470,152964,154240,156196,158211,159679,161163,162801,164519,165572,166539,167516,167974,168309,168816,169212,170174,170616,170384,170283,170034,169929,170042
Yorkshire and The Humber,E06000014,York,176277,177145,179107,181291,182088,183960,186643,188214,188977,189770,190768,192398,195070,197783,199157,201168,202206,203212,202892,203546,203906,203877,202169,201851,204551
Yorkshire and The Humber,E06000065,North Yorkshire,558107,562012,565610,570094,573186,576130,579959,584001,587299,591247,594979,596396,599028,601206,603963,604151,603672,603711,605770,607291,607735,610660,610899,618627,623501
Yorkshire and The Humber,E08000016,Barnsley,219408,218692,217765,218124,218851,220165,221227,222618,224419,225989,227754,228973,230066,231865,233259,234875,236421,238242,240061,241287,242360,243558,244201,244887,246482
Yorkshire and The Humber,E08000017,Doncaster,287571,286949,286989,286900,288647,290111,290850,292174,293990,296215,298388,300184,301299,302468,302626,302991,303673,304311,306137,307058,308237,308438,308185,308697,311027
Yorkshire and The Humber,E08000018,Rotherham,249029,247949,247010,248349,249610,250886,251722,252675,253638,254180,255271,256313,256893,257716,258710,259391,261391,262063,263273,264167,265154,265991,265593,266173,268354
Yorkshire and The Humber,E08000019,Sheffield,517596,516334,514573,513102,514201,515339,519640,525721,527629,529905,534035,538385,544613,551756,553842,555253,554805,555074,556599,555675,556771,556399,555036,555035,566242
Yorkshire and The Humber,E08000032,Bradford,468001,466933,467124,470753,475184,479166,484650,491361,495658,501357,507323,512392,518002,523115,525522,528712,531795,534919,538178,540447,542542,545966,547141,546839,552644
Yorkshire and The Humber,E08000035,Leeds,715925,714879,713366,715609,716380,717592,723042,735054,736204,738560,741665,743885,747571,750683,758029,764369,770434,777987,786739,793134,797696,804640,808443,809479,822483
Yorkshire and The Humber,E08000033,Calderdale,191137,191238,191928,192379,193201,193968,194980,196270,197761,199275,200960,202078,203049,204170,205116,205854,206614,207027,207744,207459,207215,207729,206976,206828,207699
Yorkshire and The Humber,E08000034,Kirklees,384675,385290,386892,388980,392118,394486,397530,400724,404266,407974,411807,414785,418339,422970,424922,427009,429036,431110,432588,433393,433571,433259,432878,433458,437593
