ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North East,E06000001,Hartlepool,762,803,815,816,863,911,947,987,1036,1087,1117,1098,1111,1143,1174,1221,1191,1253,1362,1375,1334,1371,1396,1340,1473
North East,E06000004,Stockton-on-Tees,2556,2666,2744,2769,2922,3142,3397,3510,3781,3982,4049,4209,4185,4175,4237,4423,4563,4848,4914,4834,4919,5198,5173,5596,6061
North East,E06000002,Middlesbrough,1475,1536,1579,1589,1654,1760,1909,2051,2184,2247,2313,2359,2302,2357,2394,2394,2455,2551,2667,2820,3013,3008,2769,3155,3440
North East,E06000003,Redcar and Cleveland,1259,1274,1307,1276,1311,1446,1470,1507,1527,1541,1655,1627,1688,1697,1711,1738,1807,1860,1787,1654,1739,1796,1801,1815,2041
North East,E06000005,Darlington,1517,1552,1671,1776,1897,2020,2155,2140,2177,2136,2265,2142,2207,2262,2284,2318,2572,2722,2570,2555,2522,2495,2301,2546,2712
North East,E06000047,County Durham,4642,4878,5015,5139,5415,5791,6261,6539,6990,7265,7549,7657,7672,7542,7729,7849,7828,7904,7922,8190,8646,9050,9145,9758,10654
North East,E06000057,Northumberland,3034,3028,3079,3186,3438,3560,3822,3951,4157,4241,4378,4290,4398,4499,4529,4504,4660,4747,4899,4993,5034,5357,5097,5488,6300
North East,E08000021,Newcastle upon Tyne,4320,4289,4428,4784,5162,5457,6039,6452,6821,6867,6883,6858,7111,7397,7667,7738,7941,8465,8738,9138,9102,9446,8732,9923,11157
North East,E08000022,North Tyneside,2050,2083,2127,2323,2586,2699,2925,3064,3158,3236,3369,3260,3338,3440,3529,3515,3690,3859,4005,4365,4542,4605,4394,4764,5359
North East,E08000023,South Tyneside,1105,1104,1134,1172,1225,1282,1388,1463,1524,1540,1585,1499,1553,1594,1751,1761,1875,1869,1791,1806,1796,1891,1707,1906,1990
North East,E08000037,Gateshead,2599,2614,2683,2807,2997,3141,3419,3639,3830,3891,3874,3726,3855,4047,4133,3882,3937,3983,4061,4071,4092,4507,3970,4471,4690
North East,E08000024,Sunderland,3497,3424,3556,3753,4042,4224,4653,4900,5159,5180,5357,5454,5387,5446,5599,6075,6299,6488,6567,6888,6791,7203,6312,6571,7231
North West,E06000063,Cumberland,3685,3881,3709,3773,3944,4186,4252,4586,4938,5019,5427,5320,5444,5344,5465,5794,6093,6216,6058,5994,6075,6261,5606,5942,6537
North West,E06000064,Westmorland and Furness,2866,2878,2994,2957,3206,3473,3657,3708,4029,4188,4450,4323,4418,4448,4708,4737,4934,5222,5250,5533,5701,6155,5826,6270,6726
North West,E08000003,Manchester,8872,9308,9540,10309,10947,11557,12464,13491,14468,15240,15554,16057,16540,16586,17373,17828,18406,19348,20589,22669,23476,25281,24782,27504,31506
North West,E08000006,Salford,3239,3399,3435,3635,3776,3969,4321,4700,4994,5252,5365,5365,5435,5459,5850,6441,6888,6977,6802,7045,7625,8076,8441,9053,10076
North West,E08000009,Trafford,4336,4546,4738,5068,5341,5571,5733,6007,6289,6575,6739,6594,6644,6674,6882,7190,7297,7817,8141,8679,9172,9348,9407,10127,10917
North West,E08000007,Stockport,3549,3738,3877,4065,4235,4432,4605,4820,5040,5301,5514,5593,5582,5482,5683,5765,5758,5783,6040,6521,6806,6883,7071,7398,8320
North West,E08000008,Tameside,1913,2021,2087,2154,2234,2306,2364,2530,2608,2724,2757,2736,2763,2770,2845,2953,3046,3075,3050,3287,3378,3407,3412,3450,3669
North West,E08000001,Bolton,2891,3003,3016,3201,3296,3427,3611,3845,4029,4196,4206,4271,4326,4326,4551,4788,4878,5081,5249,5541,5891,5881,6081,6258,6678
North West,E08000010,Wigan,2694,2825,2931,3084,3187,3316,3436,3627,3787,3938,3876,3806,3842,3858,3995,4272,4397,4694,4811,5023,5108,5094,5235,5585,6096
North West,E08000002,Bury,1732,1816,1877,1984,2113,2198,2290,2415,2538,2669,2676,2643,2697,2710,2813,2895,2859,3033,3088,3169,3269,3486,3459,3518,3689
North West,E08000004,Oldham,2020,2109,2163,2243,2334,2381,2517,2674,2798,2908,2976,2928,2963,2985,3035,3158,3319,3473,3549,3849,3903,4100,3874,4002,4388
North West,E08000005,Rochdale,1967,2081,2129,2226,2290,2359,2474,2588,2649,2784,2798,2761,2839,2833,3021,3130,3172,3255,3272,3375,3547,3707,3635,3771,4176
North West,E06000008,Blackburn with Darwen,1528,1582,1596,1632,1712,1849,1938,1990,2048,2143,2217,2162,2249,2305,2446,2525,2651,2823,2972,3019,3049,3142,3094,3433,3837
North West,E06000009,Blackpool,1274,1309,1338,1403,1481,1609,1735,1811,1862,1901,1912,1844,1928,1939,2006,2042,2123,2230,2371,2516,2614,2843,2663,2795,3187
North West,E07000121,Lancaster,1521,1560,1509,1534,1647,1846,1989,2170,2330,2427,2454,2209,2179,2188,2283,2441,2462,2626,2631,2681,2687,2847,2890,2956,3278
